AFU	<i>adj</i><br><ol><li>half</li></ol>
Aga	<i>name</i><br><ol><li>The Hague (a city, the administrative capital of the Netherlands)</li></ol>
Anansi	<i>name</i><br><ol><li>Anansi</li></ol>
Anitri	<i>noun</i><br><ol><li>(Christianity) Moravian (adherent of the Moravian Brotherhood)</li></ol>
Bakrakondre	<i>name</i><br><ol><li>the Netherlands (a country in Western Europe)</li></ol>
Bakratongo	<i>name</i><br><ol><li>The Dutch language.</li></ol>
Bedaki	<i>name</i><br><ol><li>Christmas</li></ol>
Damsko	<i>name</i><br><ol><li>Amsterdam</li></ol>
Doisritongo	<i>name</i><br><ol><li>The German language.</li></ol>
Dyu	<i>noun</i><br><ol><li>Jew (adherent to Judaism; one who belongs to a Jewish (sub)culture)</li></ol>
Fedi	<i>name</i><br><ol><li>Death, Grim Reaper (personification of death)</li></ol>
Franskondre	<i>name</i><br><ol><li>France (a country in Western Europe)</li></ol>
Franstongo	<i>name</i><br><ol><li>The French language.</li></ol>
Gado	<i>name</i><br><ol><li>God</li></ol>
Krowâsia	<i>name</i><br><ol><li>Croatia (a country in Southern Europe)</li></ol>
Krvatkondre	<i>name</i><br><ol><li>Croatia</li></ol>
Mason	<i>name</i><br><ol><li>Amazon</li></ol>
Masragado	<i>name</i><br><ol><li>Lord, God</li></ol>
Mi na afu sensi, no wan man e broko mi|Mi na afu sensi|no wan man e broko mi	<i>proverb</i><br><ol><li>Nobody can break my spirit; nobody gets me down.</li></ol>
Santa Yeye	<i>name</i><br><ol><li>(Christianity) Holy Spirit, Holy Ghost</li></ol>
Sranan|Sranang	<i>adj</i><br><ol><li>Surinamese</li><li>Sranan, pertaining to Sranan Tongo</li></ol><br><i>name</i><br><ol><li>Suriname (a country in South America)</li><li>Sranan Tongo, Sranan</li></ol>
Srananman	<i>noun</i><br><ol><li>Surinameses</li></ol>
Sranantongo|Sranan Tongo	<i>name</i><br><ol><li>Sranan Tongo</li></ol>
Yampanesi	<i>noun</i><br><ol><li>Javanese</li></ol>
a	<i>pron</i><br><ol><li>he, she, it</li></ol><br><i>article</i><br><ol><li>the</li></ol><br><i>prep</i><br><ol><li>at, to</li></ol><br><i>particle</i><br><ol><li>(copula) to be (used with a noun phrase as complement)</li></ol>
a no babariman e broko pranasi	<i>proverb</i><br><ol><li>talk is cheap (it is easy to make boastful or unrealistic statements which are not supported by actions)</li></ol>
abanyi|abani	<i>noun</i><br><ol><li>criminal, rogue</li><li>fugitive</li></ol>
abi	<i>verb</i><br><ol><li>to have</li></ol>
aboma	<i>noun</i><br><ol><li>anaconda</li><li>Any of various other large constrictors, aboma.</li></ol>
abongra	<i>noun</i><br><ol><li>sesame seed</li></ol>
abra	<i>prep</i><br><ol><li>over</li></ol><br><i>verb</i><br><ol><li>to cross (to go to the other side)</li></ol>
