Baalaay	<i>noun</i><br><ol><li>Monday</li></ol>
Bulawaa	<i>noun</i><br><ol><li>April</li></ol>
Gabudhaa	<i>noun</i><br><ol><li>women's social section</li></ol>
Gamilaraay	<i>name</i><br><ol><li>The Kamilaroi, an indigenous people of New South Wales in Australia.</li><li>The language of these people.</li></ol>
Milaygiin	<i>noun</i><br><ol><li>spirit</li></ol>
Yarraanbaa	<i>name</i><br><ol><li>Australia</li></ol>
Yarraanbarra	<i>name</i><br><ol><li>Australian</li></ol>
Yuurrila	<i>noun</i><br><ol><li>spirit</li></ol>
baa	<i>noun</i><br><ol><li>hip</li></ol>
baabili	<i>verb</i><br><ol><li>sleep</li><li>camp.</li></ol>
baadal	<i>noun</i><br><ol><li>comb</li></ol>
baadali	<i>verb</i><br><ol><li>comb</li></ol>
baadhal	<i>noun</i><br><ol><li>bottle</li></ol>
baadi	<i>noun</i><br><ol><li>paddock</li></ol>
baadjin	<i>noun</i><br><ol><li>poison</li></ol>
baagii	<i>noun</i><br><ol><li>maternal grandmother</li><li>grandma</li></ol>
baaldharradharra	<i>noun</i><br><ol><li>spur-winged plover</li><li>masked lapwing (Vanellus miles)</li></ol>
baaluu	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
baama	<i>noun</i><br><ol><li>cloud</li></ol>
baan	<i>noun</i><br><ol><li>mistletoe</li></ol>
baandali	<i>verb</i><br><ol><li>straighten up (tidy)</li><li>put in order</li></ol>
baanduu	<i>noun</i><br><ol><li>horsefly</li></ol>
baawaa	<i>noun</i><br><ol><li>sister</li></ol>
baawul	<i>noun</i><br><ol><li>chicken</li></ol>
baayali	<i>verb</i><br><ol><li>crack between teeth</li><li>bite off</li><li>chop</li></ol>
baayami	<i>noun</i><br><ol><li>god</li></ol>
baayandhu	<i>intj</i><br><ol><li>see you soon</li></ol>
baaybuu	<i>noun</i><br><ol><li>pipe</li></ol>
baaylirrmali	<i>verb</i><br><ol><li>boil</li></ol>
babuligaarr	<i>noun</i><br><ol><li>hotel</li></ol>
baburr	<i>noun</i><br><ol><li>foot</li><li>foot print</li></ol>
badha	<i>adj</i><br><ol><li>sad</li><li>sandalwood tree</li><li>bitter</li><li>sour</li></ol><br><i>noun</i><br><ol><li>beer</li></ol>
badha gali	<i>noun</i><br><ol><li>beer</li></ol>
badhii	<i>noun</i><br><ol><li>grandmother</li></ol>
badi	<i>noun</i><br><ol><li>fence</li></ol>
badi ganaay	<i>noun</i><br><ol><li>gate</li></ol>
badjigal	<i>noun</i><br><ol><li>bicycle</li></ol>
badjin	<i>adj</i><br><ol><li>small</li><li>little</li></ol>
badjinbal	<i>adv</i><br><ol><li>gradually</li></ol>
baga	<i>noun</i><br><ol><li>river bank</li></ol>
bagaan	<i>noun</i><br><ol><li>older sister</li></ol>
bagaay	<i>noun</i><br><ol><li>river, creek</li></ol>
bagabaga	<i>noun</i><br><ol><li>a (striped) emu chick</li></ol>
bagandi	<i>noun</i><br><ol><li>quoll, native cat</li></ol>
bagay	<i>noun</i><br><ol><li>river</li></ol>
bagii	<i>noun</i><br><ol><li>bad spirit</li></ol>
balabalaa	<i>noun</i><br><ol><li>butterfly</li></ol>
balal	<i>adj</i><br><ol><li>dry</li><li>empty</li><li>bare</li><li>thirsty</li><li>possibly also clean</li><li>dead (battery)</li></ol>
balalmal	<i>noun</i><br><ol><li>towel</li></ol>
balan	<i>num</i><br><ol><li>zero</li></ol>
balawagarr	<i>noun</i><br><ol><li>Frill-neck lizard.</li></ol>
balima	<i>noun</i><br><ol><li>place far away</li></ol>
balu	<i>adj</i><br><ol><li>dead</li></ol>
balugi	<i>verb</i><br><ol><li>to die</li><li>to exit</li></ol>
balumbaluu	<i>adj</i><br><ol><li>weak</li></ol>
baluwaa	<i>adv</i><br><ol><li>slowly, steadily</li><li>quietly</li></ol>
baluwaal	<i>adv</i><br><ol><li>never</li></ol>
bamba	<i>adv</i><br><ol><li>hard</li><li>loud</li></ol>
bambubambul	<i>noun</i><br><ol><li>orange</li></ol>
bambul	<i>noun</i><br><ol><li>December</li><li>fruit</li></ol>
bana	<i>noun</i><br><ol><li>lean meat</li></ol>
banaba	<i>noun</i><br><ol><li>health</li></ol>
banagay	<i>verb</i><br><ol><li>to run</li></ol>
banay	<i>num</i><br><ol><li>ten</li></ol>
banbu	<i>noun</i><br><ol><li>bus</li></ol>
bandaarr	<i>noun</i><br><ol><li>eastern grey kangaroo, Macropus giganteus.</li><li>(by extension) any kangaroo</li></ol>
bandu	<i>adj</i><br><ol><li>dirty</li></ol>
banggabaa	<i>noun</i><br><ol><li>white</li></ol>
banggulbaa	<i>noun</i><br><ol><li>bank</li></ol>
barabin	<i>noun</i><br><ol><li>semen</li></ol>
barraay	<i>adv</i><br><ol><li>fast</li><li>quickly</li></ol>
barran	<i>noun</i><br><ol><li>boomerang</li></ol>
barrgay	<i>noun</i><br><ol><li>July</li><li>emu chick</li></ol>
barriga	<i>num</i><br><ol><li>hundred</li></ol>
bawili	<i>verb</i><br><ol><li>to sing</li></ol>
bawurra	<i>noun</i><br><ol><li>red kangaroo, Macropus rufus</li></ol>
