ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܐܒ|ܐܵܒ|āb	<i>name</i><br><ol><li>August: The eight month of the Gregorian calendar (of thirty-one days), following July and preceding September.</li><li>The fifth month of the Assyrian calendar.</li><li>Av: The eleventh month of the Jewish calendar (of thirty days), following Tammuz and preceding Elul.</li></ol>
ܐܒܐ|aḇḇāhoh|aḇhon|aḇḇēh|aḇḇā|ܐܲܒ݂ܵܗܝܼ̈|aḇoh|ܐܲܒ݂ܵܗܘܼ̈ܟ݂|ܐܲܒ݂ܘܼܟ݂|aḇḇāhuḵ|aḇḇāhāḵ|ܐܲܒ݂ܵܐ|ܐܲܒ݂ܵܗܹ̈ܐ|aḇḇāhī|ܐܲܒ݂ܵܗ̈ܘܿܗ̇|aḇḇāḵ|ܐܲܒ݂ܹܗ|aḇuḵ|ܐܲܒ݂ܘܿܗ̇|ܐܲܒ݂ܵܗܵܘܟ݂ܘܿܢ|ܐܲܒ݂ܵܗܵܟ݂ܝ̈|aḇḇāhāwḵon|ܐܲܒ݂ܵܗܵܬܹ̈ܐ|aḇḇan|aḇḇāhhon|ܐܲܒ݂|ܐܲܒ݂ܲܢ|ܐܲܒ݂ܵܗܲܝ̈|aḇ|aḇḇāhē|ܐܲܒ݂ܵܗܹ̈ܗ|aḇḇāwḵon|ܐܲܒ݂ܵܟ݂ܝ|aḇḇāhaan|ܐܲܒ݂ܵܘܟ݂ܘܿܢ|ܐܲܒ݂ܵܗܲܲܢ̈|ܝܸܡܵܐ|aḇī|ܐܲܒ݂ܗܘܿܢ|ܐܲܒ݂ܵܗܗܘܿܢ|aḇḇāhay|ܐܲܒ݂ܝܼ|aḇḇāhēh	<i>noun</i><br><ol><li>(formal or dated) father (male parent who begets a child)</li><li>(in the plural) parents</li><li>forefather, ancestor, progenitor</li></ol>
ܐܒܓܕ|abgad|ܐܲܒܓܲܕ	<i>noun</i><br><ol><li>(orthography) alphabet, abjad: writing system in which only consonants are represented, leaving vowel sounds to be inferred by the reader. This contrasts with true alphabets, which provide glyphs for both consonants and vowels.</li></ol>
ܐܒܪܗܡ|āwraham|ܐܲܒ݂ܪܵܗܵܡ	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
ܐܒܪܡ|ܐܲܒ݂ܪܵܡ|āwram	<i>name</i><br><ol><li>(biblical) Abram</li></ol>
ܐܓܪܬܐ|ܐܸܓܲܪ̈ܵܬܵܟ݂ܝ|iggartan|ܐܸܓܲܪ̈ܵܬ|iggarātē|ܐܸܓܲܪܬܵܐ|ܐܸܓܲܪ̈ܵܬܘܿܗ̇|iggarāt|iggarthon|ܐܸܓܲܪ̈ܵܬܝܼ|iggartoh|ܐܸܓܲܪ̈ܵܬܘܼܟ݂|ܐܸܓܲܪ̈ܵܬܵܘܟ݂ܘܿܢ|ܐܸܓܲܪ̈ܵܬܗܘܿܢ|iggarāthon|ܐܸܓܲܪ̈ܵܬܲܢ|ܐܸܓܲܪ̈ܵܬܹܐ|iggarātāḵ|iggartā|iggarātoh|ܐܸܓܲܪܬܵܟ݂ܝ|ܐܸܓܲܪܬܲܢ|iggarātuḵ|iggarat|iggarātan|iggarātuh|ܐܸܓܲܪܬܹܗ|ܐܸܓܲܪܬܘܿܗ̇|ܐܸܓܲܪ̈ܵܬܘܼܗܝ|iggartuḵ|ܐܸܓܲܪܬܘܼܟ݂|ܐܸܓܲܪܬܗܘܿܢ|iggartēh|ܐܸܓܲܪܬܵܘܟ݂ܘܿܢ|iggarātī|iggartī|iggartāḵ|ܐܸܓܲܪܬܝܼ|iggarātāwḵon|iggartāwḵon|ܐܸܓܲܪܲܬ|ܐܸܓܲܪ̈ܝܵܬܹܐ	<i>noun</i><br><ol><li>letter</li><li>message</li><li>epistle</li></ol>
ܐܕܘܪܒܝܓܢ|ܐܲܕܘܿܪܒܲܝܓܵܢ|adorbaygān	<i>name</i><br><ol><li>Azerbaijan: A country in the South Caucasus region of Eurasia; official name: Republic of Azerbaijan</li><li>Iranian Azerbaijan</li></ol>
ܐܕܝܘܡ|ܐܸܕܝܘܿܡ|idyōm	<i>adv</i><br><ol><li>today</li></ol>
ܐܕܠܝܠܐ|ܐܸܕܠܲܝܠܹܐ|idlaylē	<i>adv</i><br><ol><li>tonight</li></ol>
ܐܕܪ|ܐܵܕܵܪ|adar	<i>name</i><br><ol><li>March: The third month of the Gregorian calendar (of thirty-one days), following February and preceding April.</li><li>The twelfth month of the Assyrian calendar.</li><li>Adar: The sixth month of the Jewish calendar (of twenty-nine or thirty days), following Shevat and preceding Nisan.</li></ol>
ܐܕܫܢܬ|ašat|ܐܲܕ݇ܫܲܢ݇ܬ	<i>adv</i><br><ol><li>this year</li></ol>
ܐܗܐ|ܐܲܢܹܐ|ܐܵܗܵܐ|aha	<i>pron</i><br><ol><li>(demonstrative) this, that</li></ol>
ܐܘܚܕܢܐ ܡܚܝܕܐ ܕܐܡܝܪܟܐ|ܐܘܼܚܕܵܢܹ̈ܐ ܡܚܲܝܕܹ̈ܐ ܕܐܵܡܵܝܪܟܵܐ|uḥdānē mḥaydē dʾāmāyrkā	<i>name</i><br><ol><li>United States of America (a country in North America, stretching from the Atlantic to the Pacific Ocean, including Alaska, Hawaii and several territories)</li></ol>
ܐܘܟܪܢܝܐ|ukranaya|ܐܘܼܟܪܵܢܵܝܬܵܐ|ukranya|ܐܘܼܟܪܵܢܵܝܵܐ|ܐܘܼܟܪ̈ܵܢܵܝܹܐ|ܐܘܼܟܪܵܢܝܵܐ	<i>adj</i><br><ol><li>Ukraine: Of or pertaining to Ukraine</li></ol><br><i>noun</i><br><ol><li>Ukraine: A person from Ukraine, or an ethnic Ukrainian.</li></ol><br><i>name</i><br><ol><li>Ukraine: A country in Eastern Europe; was long part of the Russian Empire and Austro-Hungarian Empire, then of the Soviet Union.</li></ol>
ܐܘܡܚܪܢܐ|ܐܘܿܡܵܚܸܪ݇ܢܵܐ|omāḥinā	<i>adv</i><br><ol><li>ereyesterday</li><li>overmorrow</li></ol>
ܐܘܢܓܠܝܘܢ|iwwangilīyon|ܐܸܘܲܢܓܸܠܝܼܘܿܢ|ܐܸܘܲܢܓܸܠܝܼܘܿܢܹ̈ܐ	<i>noun</i><br><ol><li>gospel</li></ol>
ܐܘܣܛܪܠܝܐ|ܐܘܼܣܛܪܵܠܵܝܵܐ|ܐܘܼܣܛܪܵܠܵܝܵܬܹ̈ܐ|usṭralaya|usṭraliya|ܐܘܼܣܛܪܵܠܵܝܬܵܐ|ܐܘܼܣܛܪܵܠܵܝܹ̈ܐ|ܐܘܼܣܛܪܵܠܝܼܵܐ	<i>name</i><br><ol><li>Australia: A country in Oceania. Official name: Commonwealth of Australia.</li><li>(geology) The continent of Australia-New Guinea.</li></ol><br><i>noun</i><br><ol><li>Australian: A person from the country of Australia or of Australian descent.</li><li>A person from the continent of Australia.</li></ol><br><i>adj</i><br><ol><li>Australian: Of, from, or pertaining to Australia, the Australian culture or Australian people.</li></ol>
ܐܘܣܛܪܠܣܝܐ|Usṭralasiya|ܐܘܼܣܛܪܵܠܵܣܝܼܵܐ	<i>name</i><br><ol><li>Australasia</li></ol>
